scenario,version,run,total,success,success_rate_pct,plan_quality,duration_s
forward,v1,1,3,3,100.0,simple,20.7
forward,v1,2,3,3,100.0,simple,24.3
forward,v2,1,5,5,100.0,simple,195.4
forward,v2,2,5,5,100.0,simple,195.4
forward,v3,1,4,4,100.0,simple,19.9
forward,v3,2,3,3,100.0,simple,199.0
goto_pantry,v1,1,3,3,100.0,stub,35.1
goto_pantry,v1,2,3,3,100.0,stub,30.2
goto_pantry,v2,1,6,6,100.0,partial,47.9
goto_pantry,v2,2,5,5,100.0,partial,96.8
goto_pantry,v3,1,56,56,100.0,full_decomposed,230.3
goto_pantry,v3,2,42,42,100.0,full_decomposed,295.1
deliver_coe,v1,1,3,3,100.0,stub,99.9
deliver_coe,v1,2,0,0,0.0,failed,360.0
deliver_coe,v2,1,84,84,100.0,full_decomposed,293.2
deliver_coe,v2,2,60,60,100.0,full_decomposed,146.3
deliver_coe,v3,1,42,42,100.0,full_decomposed,273.2
deliver_coe,v3,2,42,42,100.0,full_decomposed,270.3
dual,v1,1,6,6,100.0,stub,107.9
dual,v1,2,0,0,0.0,failed,360.0
dual,v2,1,71,71,100.0,full_decomposed,299.0
dual,v2,2,60,62,96.8,full_decomposed,243.8
dual,v3,1,46,46,100.0,full_decomposed,157.7
dual,v3,2,49,49,100.0,full_decomposed,166.8
